Quarter of Month,Flat Type,Avg. Price per sqm
2017 Q3,MULTI-GENERATION,4635.761589
2017 Q4,MULTI-GENERATION,4933.543427
2018 Q2,MULTI-GENERATION,4743.185033
2018 Q3,MULTI-GENERATION,4639.852362
2018 Q4,MULTI-GENERATION,5111.860368
2019 Q1,MULTI-GENERATION,4692.73743
2019 Q2,MULTI-GENERATION,4932.464441
2019 Q3,MULTI-GENERATION,4754.731162
2019 Q4,MULTI-GENERATION,5668.128384
2020 Q3,MULTI-GENERATION,4772.691207
2020 Q4,MULTI-GENERATION,4900.192302
2021 Q1,MULTI-GENERATION,5098.085364
2021 Q2,MULTI-GENERATION,5304.453862
2021 Q3,MULTI-GENERATION,5968.75
2021 Q4,MULTI-GENERATION,5308.906383
2022 Q1,MULTI-GENERATION,5030.480886
2022 Q2,MULTI-GENERATION,5870.838446
2017 Q1,EXECUTIVE,4333.93951
2017 Q2,EXECUTIVE,4336.285648
2017 Q3,EXECUTIVE,4418.302801
2017 Q4,EXECUTIVE,4321.572023
2018 Q1,EXECUTIVE,4350.705535
2018 Q2,EXECUTIVE,4350.176352
2018 Q3,EXECUTIVE,4421.719555
2018 Q4,EXECUTIVE,4330.967101
2019 Q1,EXECUTIVE,4315.947838
2019 Q2,EXECUTIVE,4245.364045
2019 Q3,EXECUTIVE,4245.07116
2019 Q4,EXECUTIVE,4276.307871
2020 Q1,EXECUTIVE,4317.759797
2020 Q2,EXECUTIVE,4197.248618
2020 Q3,EXECUTIVE,4345.753551
2020 Q4,EXECUTIVE,4526.331935
2021 Q1,EXECUTIVE,4708.598205
2021 Q2,EXECUTIVE,4818.697357
2021 Q3,EXECUTIVE,4901.475227
2021 Q4,EXECUTIVE,5050.148083
2022 Q1,EXECUTIVE,5210.411509
2022 Q2,EXECUTIVE,5277.340218
2017 Q1,5 ROOM,4463.977957
2017 Q2,5 ROOM,4518.809243
2017 Q3,5 ROOM,4524.409254
2017 Q4,5 ROOM,4526.171925
2018 Q1,5 ROOM,4588.224364
2018 Q2,5 ROOM,4518.648698
2018 Q3,5 ROOM,4421.090636
2018 Q4,5 ROOM,4417.795967
2019 Q1,5 ROOM,4479.111797
2019 Q2,5 ROOM,4468.479668
2019 Q3,5 ROOM,4467.314282
2019 Q4,5 ROOM,4462.298887
2020 Q1,5 ROOM,4510.873479
2020 Q2,5 ROOM,4493.099112
2020 Q3,5 ROOM,4578.141007
2020 Q4,5 ROOM,4814.898265
2021 Q1,5 ROOM,5010.354302
2021 Q2,5 ROOM,5111.158196
2021 Q3,5 ROOM,5219.014266
2021 Q4,5 ROOM,5328.110011
2022 Q1,5 ROOM,5416.284528
2022 Q2,5 ROOM,5530.564529
2017 Q1,4 ROOM,4610.458005
2017 Q2,4 ROOM,4597.857895
2017 Q3,4 ROOM,4600.072837
2017 Q4,4 ROOM,4570.453289
2018 Q1,4 ROOM,4623.541558
2018 Q2,4 ROOM,4576.062814
2018 Q3,4 ROOM,4530.648839
2018 Q4,4 ROOM,4481.961018
2019 Q1,4 ROOM,4504.340915
2019 Q2,4 ROOM,4507.732442
2019 Q3,4 ROOM,4543.564572
2019 Q4,4 ROOM,4579.800653
2020 Q1,4 ROOM,4565.900938
2020 Q2,4 ROOM,4635.331433
2020 Q3,4 ROOM,4739.981209
2020 Q4,4 ROOM,5009.32227
2021 Q1,4 ROOM,5130.170939
2021 Q2,4 ROOM,5356.381488
2021 Q3,4 ROOM,5422.611496
2021 Q4,4 ROOM,5577.241525
2022 Q1,4 ROOM,5623.553385
2022 Q2,4 ROOM,5811.739834
2017 Q1,3 ROOM,4690.455745
2017 Q2,3 ROOM,4690.160544
2017 Q3,3 ROOM,4634.455518
2017 Q4,3 ROOM,4626.71718
2018 Q1,3 ROOM,4515.20905
2018 Q2,3 ROOM,4529.891825
2018 Q3,3 ROOM,4477.488799
2018 Q4,3 ROOM,4450.620864
2019 Q1,3 ROOM,4418.710343
2019 Q2,3 ROOM,4387.003951
2019 Q3,3 ROOM,4399.488747
2019 Q4,3 ROOM,4436.058284
2020 Q1,3 ROOM,4485.027926
2020 Q2,3 ROOM,4385.467179
2020 Q3,3 ROOM,4626.743057
2020 Q4,3 ROOM,4821.542279
2021 Q1,3 ROOM,4953.151059
2021 Q2,3 ROOM,5145.458308
2021 Q3,3 ROOM,5224.738369
2021 Q4,3 ROOM,5436.672703
2022 Q1,3 ROOM,5546.668691
2022 Q2,3 ROOM,5667.627086
2017 Q1,2 ROOM,5317.668639
2017 Q2,2 ROOM,5315.064393
2017 Q3,2 ROOM,5152.058422
2017 Q4,2 ROOM,5269.616896
2018 Q1,2 ROOM,5148.595862
2018 Q2,2 ROOM,5188.79079
2018 Q3,2 ROOM,5245.31683
2018 Q4,2 ROOM,5068.240687
2019 Q1,2 ROOM,5063.241915
2019 Q2,2 ROOM,5038.599885
2019 Q3,2 ROOM,4967.666586
2019 Q4,2 ROOM,4830.529638
2020 Q1,2 ROOM,4982.323781
2020 Q2,2 ROOM,4989.562257
2020 Q3,2 ROOM,5032.791714
2020 Q4,2 ROOM,5267.395883
2021 Q1,2 ROOM,5503.871937
2021 Q2,2 ROOM,5605.082364
2021 Q3,2 ROOM,5890.730411
2021 Q4,2 ROOM,6099.17102
2022 Q1,2 ROOM,6154.106049
2022 Q2,2 ROOM,6347.230676
2017 Q1,1 ROOM,6741.935484
2017 Q2,1 ROOM,7000
2017 Q3,1 ROOM,6212.903226
2017 Q4,1 ROOM,6774.193548
2018 Q1,1 ROOM,7483.870968
2018 Q2,1 ROOM,5817.204301
2018 Q3,1 ROOM,5763.44086
2018 Q4,1 ROOM,5612.903226
2019 Q1,1 ROOM,5623.655914
2019 Q2,1 ROOM,5832.806452
2019 Q3,1 ROOM,5322.580645
2020 Q1,1 ROOM,5182.795699
2020 Q2,1 ROOM,5913.978495
2020 Q3,1 ROOM,6016.129032
2020 Q4,1 ROOM,6370.967742
2021 Q1,1 ROOM,6161.290323
2021 Q2,1 ROOM,6451.612903
2021 Q3,1 ROOM,7096.774194
2022 Q1,1 ROOM,6935.483871
2022 Q2,1 ROOM,7370.967742