Town,Lat,Longtitude,Avg. Price per sqm,Count of resale-flat-prices-based-on-registration-date-from-jan-2017-onwards.csv
YISHUN,1.429666,103.835044,4220.867345,8635
WOODLANDS,1.436984,103.786406,3820.93609,8765
TOA PAYOH,1.332405,103.847436,5512.842452,4134
TAMPINES,1.354467,103.943325,4753.552988,8679
SERANGOON,1.349862,103.873635,4973.80894,2463
SENGKANG,1.391682,103.895475,4712.582108,10939
SEMBAWANG,1.449133,103.82006,3993.618332,3023
QUEENSTOWN,1.294867,103.805902,6981.873468,3688
PUNGGOL,1.405191,103.902367,5040.148986,9414
PASIR RIS,1.373234,103.949343,4394.373984,4022
MARINE PARADE,1.308474,103.888825,5979.002539,801
KALLANG/WHAMPOA,1.311532,103.871372,5903.212315,3814
JURONG WEST,1.33862,103.705817,4050.727042,8631
JURONG EAST,1.333207,103.742308,4417.627391,2726
HOUGANG,1.371406,103.892533,4544.455059,6345
GEYLANG,,,5328.000913,3188
CLEMENTI,1.314925,103.765341,5777.730436,2965
CHOA CHU KANG,1.385417,103.744316,4015.51814,5856
CENTRAL AREA,1.27949,103.852802,7673.203771,1077
BUKIT TIMAH,1.331221,103.79718,6470.966077,342
BUKIT PANJANG,1.37834,103.762452,4429.673505,5026
BUKIT MERAH,1.289674,103.816787,6552.041842,5015
BUKIT BATOK,1.349069,103.749596,4219.657434,4271
BISHAN,1.35092,103.848206,5998.290455,2505
BEDOK,1.324043,103.930205,4753.245454,6998
ANG MO KIO,1.370025,103.849588,4854.674285,5422